"All","Kaikki",module,Magento/AdminGws
"None","Poista valinnat",module,Magento/AdminGws
"Allowed Scopes","Sallitut kauppanäkymät",module,Magento/AdminGws
"You need more permissions to delete this item(s): %1.","Tämän kohte(en/iden) poistaminen vaatii enemmän käyttöoikeuksia: %1.",module,Magento/AdminGws
"You need more permissions to apply some of the rule updates.","Joidenkin sääntöpäivitysten lisääminen vaatii enemmän käyttöoikeuksia.",module,Magento/AdminGws
"Please assign this entity to a store view.","Määritä tämä entiteetti kauppanäkymään.",module,Magento/AdminGws
"You can create orders only in an active store.","Voit luoda tilauksia vain aktiivisessa kaupassa.",module,Magento/AdminGws
"Please assign this item to a store view.","Määritä tämä nimike kauppanäkymään.",module,Magento/AdminGws
"You need more permissions to save this item.","Tämän kohteen tallentaminen vaatii enemmän käyttöoikeuksia.",module,Magento/AdminGws
"You need more permissions to delete this item.","Tämän kohteen poistaminen vaatii enemmän käyttöoikeuksia.",module,Magento/AdminGws
"You need more permissions to view this item.","Tämän kohteen tarkasteleminen vaatii enemmän käyttöoikeuksia.",module,Magento/AdminGws
"Please specify at least one website or one store group.","Määritä vähintään yksi sivusto tai yksi kaupparyhmä.",module,Magento/AdminGws
"You need more permissions to set All Scopes to a Role.","Tarvitset enemmän oikeuksia asettaaksesi kaikki toimintaoikeudet roolille.",module,Magento/AdminGws
"Incorrect website ID: %1","Virheellinen sivuston tunnus: %1",module,Magento/AdminGws
"You need more permissions to access website ""%1"".","Lisää käyttöoikeuksia tarvitaan pääsemiseksi sivustolle ""%1"".",module,Magento/AdminGws
"Incorrect store ID: %1","Virheellinen kaupan tunnus: %1",module,Magento/AdminGws
"You need more permissions to save this setting.","Tämän asetuksen tallentaminen vaatii laajemmat käyttöoikeudet.",module,Magento/AdminGws
"Role Scopes","Roolien toimintaoikeudet",module,Magento/AdminGws
"Custom","Mukautettu",module,Magento/AdminGws
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Sinulla ei ole käyttöoikeuksia tämän tuotteen tallentamiseen nykyisessä kauppanäkymässä. Ole hyvä ja vaihda sallittuun kauppanäkymään",module,Magento/AdminGws
"More permissions are needed to delete the ""%1"" item.","Lisää käyttöoikeuksia tarvitaan kohteen ”%1” poistamiseen.",module,Magento/AdminGws
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Tämä kohde on varattava kauppa-näkymään. Tarkista kohteen määritys ja yritä uudelleen.",module,Magento/AdminGws
"Orders can only be completed in an active store. Verify the store and try again.","Tilauksia voidaan suorittaa vain aktiivisessa kaupassa. Tarkista kaupan voimassaolo ja yritä uudelleen.",module,Magento/AdminGws
"This item needs to be assigned to a store view. Assign item and try again.","Tämä kohde on määritettävä kauppa-näkymään. Määritä kohde ja yritä uudelleen.",module,Magento/AdminGws
"More permissions are needed to save this item.","Lisää käyttöoikeuksia tarvitaan tämän kohteen tallentamiseen.",module,Magento/AdminGws
"More permissions are needed to delete this item.","Lisää käyttöoikeuksia tarvitaan tämän kohteen poistamiseen.",module,Magento/AdminGws
"More permissions are needed to view this item.","Lisää käyttöoikeuksia tarvitaan tämän kohteen näyttämiseen.",module,Magento/AdminGws
"At least one website or store group needs to be selected. Select and try again.","Ainakin yksi verkkosivu- tai myymäläryhmä on valittava. Valitse ja yritä uudelleen.",module,Magento/AdminGws
"More permissions are needed to set All Scopes to a Role.","Kaikkien toimintaoikeuksien asettamiseen roolille tarvitaan lisää oikeuksia.",module,Magento/AdminGws
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","Sivuston ”%1” tunnus on virheellinen. Tarkista sivuston tunnus ja yritä uudelleen.",module,Magento/AdminGws
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Myymälän ”%1” tunnus on virheellinen. Tarkista myymälän tunnus ja yritä uudelleen.",module,Magento/AdminGws
"More permissions are needed to save this setting.","Lisää käyttöoikeuksia tarvitaan tämän asetuksen tallentamiseen.",module,Magento/AdminGws
"Read Details","Lisätietoja",module,Magento/AdminNotification
"Mark as Read","Merkitse luetuksi",module,Magento/AdminNotification
"Are you sure?","Oletko varma?",module,Magento/AdminNotification
"Remove","Poista",module,Magento/AdminNotification
"Messages Inbox","Saapuneet-kansio",module,Magento/AdminNotification
"You have %1 new system messages","Sinulla on %1 uutta järjestelmäviesti(ä)",module,Magento/AdminNotification
"You have %1 new system message","Sinulla on %1 uusi järjestelmäviesti",module,Magento/AdminNotification
"Incoming Message","Saapuva viesti",module,Magento/AdminNotification
"close","sulje",module,Magento/AdminNotification
"Notifications","Ilmoitukset",module,Magento/AdminNotification
"The message has been marked as Read.","Viesti on merkitty luetuksi.",module,Magento/AdminNotification
"We couldn't mark the notification as Read because of an error.","Ilmoitusta ei voitu merkitä luetuksi virheen vuoksi.",module,Magento/AdminNotification
"Please select messages.","Valitse viestit.",module,Magento/AdminNotification
"A total of %1 record(s) have been marked as Read.","Yhteensä %1 tietue(tta) on merkitty luetuksi.",module,Magento/AdminNotification
"Total of %1 record(s) have been removed.","Yhteensä %1 tietue(tta) on poistettu.",module,Magento/AdminNotification
"We couldn't remove the messages because of an error.","Viestejä ei voitu poistaa virheen vuoksi.",module,Magento/AdminNotification
"The message has been removed.","Viesti on poistettu.",module,Magento/AdminNotification
"1 Hour","1 tunti",module,Magento/AdminNotification
"2 Hours","2 tuntia",module,Magento/AdminNotification
"6 Hours","6 tuntia",module,Magento/AdminNotification
"12 Hours","12 tuntia",module,Magento/AdminNotification
"24 Hours","24 tuntia",module,Magento/AdminNotification
"critical","kriittinen",module,Magento/AdminNotification
"major","merkittävä",module,Magento/AdminNotification
"minor","vähäinen",module,Magento/AdminNotification
"notice","ilmoitus",module,Magento/AdminNotification
"Wrong message type","Väärä viestityyppi",module,Magento/AdminNotification
"Wrong notification ID specified.","Väärä ilmoitustunnus määritetty.",module,Magento/AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} ei ole suositeltavaa käyttää tuotantoympäristössä Base Unsecure URL / Base Secure URL-esittämiseksi. Suosittelemme voimakkaasti tämän arvon vaihtamista Magenton <a href=""%1"">kokoonpanossa</a>.",module,Magento/AdminNotification
"One or more of the Cache Types are invalidated: %1. ","Yksi tai useampi välimuistityyppi vaatii virkistämisen: %1. ",module,Magento/AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ole hyvä ja siirry <a href=""%1"">Välimuistin hallintaan</a> ja tyhjennä välimuistityypit.",module,Magento/AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Yhtä tai useampaa media-tiedostoa ei voida synkronoida. Katso lisätietoja lokitiedostosta.",module,Magento/AdminNotification
"Synchronization of media storages has been completed.","Mediasäilöjen synkronointi on suoritettu.",module,Magento/AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Web-palvelin on määritetty väärin ja mahdollistaa luvattoman pääsyn arkaluontoisiin tiedostoihin. Ota yhteyttä palveluntarjoajaasi.",module,Magento/AdminNotification
"System Messages:","Järjestelmäviestit:",module,Magento/AdminNotification
"Critical System Messages","Kriittiset järjestelmäviestit",module,Magento/AdminNotification
"Major System Messages","Merkittävät järjestelmäviestit",module,Magento/AdminNotification
"System messages","Järjestelmäviestit",module,Magento/AdminNotification
"Close","Sulje",module,Magento/AdminNotification
"See All (","Katso kaikki (",module,Magento/AdminNotification
" unread)"," lukematta)",module,Magento/AdminNotification
"Show Toolbar","Näytä työkalupalkki",module,Magento/AdminNotification
"Show List","Näytä lista",module,Magento/AdminNotification
"Use HTTPS to Get Feed","Käytä HTTPS-yhteyttä syötteen haussa",module,Magento/AdminNotification
"Update Frequency","Päivitystiheys",module,Magento/AdminNotification
"Last Update","Muokattu viimeksi",module,Magento/AdminNotification
"Severity","Vakavuus",module,Magento/AdminNotification
"Date Added","Lisäyspäivämäärä",module,Magento/AdminNotification
"Message","Viesti",module,Magento/AdminNotification
"Actions","Toiminnot",module,Magento/AdminNotification
"Close popup","Sulje ponnahdus-ikkuna",module,Magento/AdminNotification
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Voit katsella ja ratkaista kaikki viimeisimmät järjestelmän ilmoitukset. Päivitä web-sivun Poista ilmoitus-ilmoitus.",module,Magento/AdminNotification
"Manage Shopping Cart","Hallitse ostoskoria",module,Magento/AdvancedCheckout
"Create Order","Luo tilaus",module,Magento/AdvancedCheckout
"Back","Takaisin",module,Magento/AdvancedCheckout
"Add Products","Lisää tuotteita",module,Magento/AdvancedCheckout
"Update Items and Quantities","Päivitä nimikkeet ja määrät",module,Magento/AdvancedCheckout
"Are you sure you want to clear your cart?","Oletko varma, että haluat tyhjentää ostoskorisi?",module,Magento/AdvancedCheckout
"Clear my shopping cart","Tyhjennä Ostoskori",module,Magento/AdvancedCheckout
"Add selections to my cart","Lisää valinnat ostoskoriin",module,Magento/AdvancedCheckout
"Cancel","Peruuta",module,Magento/AdvancedCheckout
"Shopping Cart for %1 in %2","Asiakkaan %1 ostoskori kaupassa %2",module,Magento/AdvancedCheckout
"Select products you want to buy","Valitse tuotteet, jotka haluat ostaa",module,Magento/AdvancedCheckout
"Product","Tuote",module,Magento/AdvancedCheckout
"Price","Hinta",module,Magento/AdvancedCheckout
"Quantity","Määrä",module,Magento/AdvancedCheckout
"Products in the Comparison List (%1)","Tuotteet vertailulistalla (%1)",module,Magento/AdvancedCheckout
"Last ordered items (%1)","Viimeksi tilatut tuotteet (%1)",module,Magento/AdvancedCheckout
"Products","Tuotteet",module,Magento/AdvancedCheckout
"ID","Tunnus",module,Magento/AdvancedCheckout
"SKU","Tuotenro",module,Magento/AdvancedCheckout
"Recently Compared Products (%1)","Äskettäin vertaillut tuotteet (%1)",module,Magento/AdvancedCheckout
"Recently Viewed Products (%1)","Äskettäin tarkastellut tuotteet (%1)",module,Magento/AdvancedCheckout
"Add to Shopping Cart by SKU","Lisää ostoskoriin tuotenumeroittain",module,Magento/AdvancedCheckout
"Add to Shopping Cart","Lisää ostoskoriin",module,Magento/AdvancedCheckout
"Wish List (%1)","Toivelista (%1)",module,Magento/AdvancedCheckout
"Apply","Käytä",module,Magento/AdvancedCheckout
"Configure","Määritä",module,Magento/AdvancedCheckout
"Add to Order by SKU","Lisää tilaukseen tuotenumeroittain",module,Magento/AdvancedCheckout
"Add to Order","Lisää tilaukseen",module,Magento/AdvancedCheckout
"Add Products to Order","Lisää tuotteet tilaukselle",module,Magento/AdvancedCheckout
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> tuote(tta) vaatii huomiota.</span>",module,Magento/AdvancedCheckout
"Remove All","Poista kaikki",module,Magento/AdvancedCheckout
"Only %1%2%3 left in stock","Vain %1%2%3 jäljellä varastossa",module,Magento/AdvancedCheckout
"You can buy up to %1 of these per purchase.","Voit ostaa näitä enintään %1 kpl per ostotapahtuma.",module,Magento/AdvancedCheckout
"You must buy at least %1 of these per purchase.","Sinun täytyy ostaa vähintään %1 näitä per ostotapahtuma.",module,Magento/AdvancedCheckout
"Specify the product's options.","Määritä tuotteen vaihtoehdot.",module,Magento/AdvancedCheckout
"Alert me when this item is available.","Ilmoita, kun tämä tuote on saatavilla.",module,Magento/AdvancedCheckout
"We can't find this customer.","Tätä asiakasta ei löydy.",module,Magento/AdvancedCheckout
"Shopping cart management is disabled for this customer.","Ostoskorin hallinta ei ole käytössä tälle asiakkaalle.",module,Magento/AdvancedCheckout
"We can't find this store.","Tätä kauppaa ei löydy.",module,Magento/AdvancedCheckout
"Customers","Asiakkaat",module,Magento/AdvancedCheckout
"Shopping Cart","Ostoskori",module,Magento/AdvancedCheckout
"Sorry, something went wrong. You can find out more in the error log.","Valitettavasti jokin meni pieleen. Löydät lisätietoja virhelokista.",module,Magento/AdvancedCheckout
"You do not have access to this.","Sinulla ei ole pääsyä tähän.",module,Magento/AdvancedCheckout
"Ordered item id is not received.","Tilatun tuotteen tunnusta ei ole vastaanotettu.",module,Magento/AdvancedCheckout
"Ordered item is not loaded.","Tilattua nimikettä ei ole ladattu.",module,Magento/AdvancedCheckout
"Quote item id is not received.","Mainitun tuotteen tunnusta ei ole vastaanotettu.",module,Magento/AdvancedCheckout
"Quote item is not loaded.","Mainittua tuotetta ei ole ladattu.",module,Magento/AdvancedCheckout
"The wish list item id is not received.","Toivelistalla olevaa tuotetta ei ole vastaanotettu.",module,Magento/AdvancedCheckout
"The wish list item is not loaded.","Toivelistalla olevaa tuotetta ei ole ladattu.",module,Magento/AdvancedCheckout
"An error has occurred. See error log for details.","Tapahtui virhe. Katso lisätietoja virhelokista.",module,Magento/AdvancedCheckout
"You cannot configure a product.","Et voi määrittää tuotetta.",module,Magento/AdvancedCheckout
"You removed the items.","Tuotteet poistettiin.",module,Magento/AdvancedCheckout
"You removed the item.","Tuote poistettiin.",module,Magento/AdvancedCheckout
"You added %1 to your shopping cart.","Lisäsit %1 ostoskoriisi.",module,Magento/AdvancedCheckout
"You cannot add a product.","Et voi lisätä tuotetta.",module,Magento/AdvancedCheckout
"Order by SKU","Järjestä tuotenumeron mukaan",module,Magento/AdvancedCheckout
"The SKU was not found in the catalog.","SKU:ta ei löytynyt luettelosta.",module,Magento/AdvancedCheckout
"Availability: Out of stock.","Saatavuus: ei varastossa.",module,Magento/AdvancedCheckout
"We don't have as many of these as you want.","Meillä ei ole niin montaa kuin haluat.",module,Magento/AdvancedCheckout
"You can't add this many to your cart.","Näin montaa ei voida lisätä ostoskoriin.",module,Magento/AdvancedCheckout
"You need to choose options for your item.","Sinun täytyy valita vaihtoehdot tuotteellesi.",module,Magento/AdvancedCheckout
"We can't add the item to your cart.","Tätä tuotetta ei voida lisätä ostoskoriisi.",module,Magento/AdvancedCheckout
"Please enter an actual number in the ""Qty"" field.","Kirjoita määrä numeroina ""Kpl""-kenttään.",module,Magento/AdvancedCheckout
"This product is assigned to another website.","Tämä tuote on määritetty toiselle sivustolle.",module,Magento/AdvancedCheckout
"You can add only enabled products.","Voit lisätä vain käytössä olevia tuotteita.",module,Magento/AdvancedCheckout
"You cannot upload this file.","Tätä tiedostoa ei voi lähettää.",module,Magento/AdvancedCheckout
"The file is empty.","Tiedosto on tyhjä.",module,Magento/AdvancedCheckout
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Et ole syöttänyt tuotenumeroa. Ole hyvä ja <a href=""%1""> klikkaa tästä</a> lisätäksesi tuottee(t/n) tuotenumeron perusteella.",module,Magento/AdvancedCheckout
"You have not entered a product SKU.","Et ole syöttänyt tuotenumeroa.",module,Magento/AdvancedCheckout
"We can't add a product to cart by id ""%1"".","Tuotetta ei voida lisätä ostoskoriin tunnuksella ""%1"".",module,Magento/AdvancedCheckout
"Something went wrong while reordering this product.","Uudelleentilauksessa tapahtui virhe.",module,Magento/AdvancedCheckout
"We can't find this wish list.","Tätä toivelistaa ei löydy.",module,Magento/AdvancedCheckout
"You added %1 product to your shopping cart.","%1 tuote lisättiin ostoskoriin.",module,Magento/AdvancedCheckout
"You added %1 products to your shopping cart.","%1 tuotetta lisättiin ostoskoriin.",module,Magento/AdvancedCheckout
"%1 product requires your attention.","%1 tuote vaatii huomiotasi.",module,Magento/AdvancedCheckout
"%1 products require your attention.","%1 tuotetta vaativat huomiotasi.",module,Magento/AdvancedCheckout
"Yes, for Specified Customer Groups","Kyllä, määrätyille asiakasryhmille",module,Magento/AdvancedCheckout
"Yes, for Everyone","Kyllä, kaikille",module,Magento/AdvancedCheckout
"No","Ei",module,Magento/AdvancedCheckout
"The file is corrupt.","Tiedosto on vioittunut.",module,Magento/AdvancedCheckout
"Please upload the file in .csv format.","Lähetä tiedosto .csv-muodossa.",module,Magento/AdvancedCheckout
"%1 item(s) need your attention.","%1 kohde(tta) kaipaa(vat) huomiotasi.",module,Magento/AdvancedCheckout
"Apply Coupon Code","Käytä alennuskoodi",module,Magento/AdvancedCheckout
"Remove Coupon Code","Poista alennuskoodi",module,Magento/AdvancedCheckout
"Remove","Poista",module,Magento/AdvancedCheckout
